# Argument List:
# Name = 8481_5fold_gene_score.txt
# peak file = ./fold/8481_tmp
# decay = 10000 bp
# genome = /project/dev/rongbin/xy/rp/hg38_refGene.bed
#chrom	txStart	txEnd	refseq	score	strand	symbol
chr20	5127007	5197886	NM_003818.4	4.803	+	CDS2
chr20	5127038	5197886	XM_011529390.1	4.797	+	CDS2
chr22	17734139	17774494	NM_001196.3	4.794	-	BID
chr22	17734139	17774494	NM_001244569.1	4.794	-	BID
chr22	17734139	17774494	NM_001244570.1	4.794	-	BID
chr22	17734139	17774494	NM_197967.2	4.794	-	BID
chr22	17734139	17774664	NM_001244567.1	4.791	-	BID
chr10	71816297	71851250	NM_001042465.3	4.785	-	PSAP
chr10	71816297	71851250	NM_001042466.3	4.785	-	PSAP
chr10	71816297	71851250	NM_002778.4	4.785	-	PSAP
chr21	37367556	37515375	NM_101395.2	4.776	+	DYRK1A
chr21	37366772	37526357	NM_001347721.2	4.774	+	DYRK1A
chr21	37366933	37515375	NM_001347723.1	4.773	+	DYRK1A
chr3	46407165	46409522	XM_011534209.1	4.770	+	CCRL2
chr3	46407197	46409522	XM_011534208.1	4.766	+	CCRL2
chr3	46407197	46409522	XM_017007436.1	4.766	+	CCRL2
chr9	124291635	124352441	XM_024447385.1	4.761	+	NEK6
chr3	46407258	46409522	NM_003965.5	4.759	+	CCRL2
chr21	37366503	37515177	XM_006723978.3	4.754	+	DYRK1A
chr9	124291970	124352441	NM_001166170.1	4.750	+	NEK6
chr9	124291970	124352441	NM_001166171.1	4.750	+	NEK6
chr20	5127291	5197886	XM_024452016.1	4.749	+	CDS2
chr18	77012791	77106122	XM_017025778.2	4.749	-	MBP
chr7	5592815	5606654	NM_003088.4	4.745	+	FSCN1
chr19	18419330	18434561	XM_006722666.2	4.742	+	SSBP4
chr19	18419330	18434561	XM_006722668.2	4.742	+	SSBP4
chr19	18419330	18434561	XM_017026433.1	4.742	+	SSBP4
chr19	18419330	18434561	XM_017026436.1	4.742	+	SSBP4
chr22	46620237	46679786	XM_017028670.2	4.741	+	GRAMD4
chrX	1462575	1494392	XM_011546179.2	4.730	-	P2RY8
chr19	18419397	18434561	NM_001009998.4	4.730	+	SSBP4
chr19	18419397	18434561	NM_032627.5	4.730	+	SSBP4
chr8	42271301	42332652	NM_001190720.2	4.728	+	IKBKB
chr8	42271301	42332459	NM_001242778.2	4.728	+	IKBKB
chr8	42271301	42332459	NM_001556.3	4.728	+	IKBKB
chr8	42271301	42330334	XM_011544518.2	4.728	+	IKBKB
chr8	42271303	42330334	XM_005273490.3	4.728	+	IKBKB
chr8	42271303	42332454	XM_005273492.4	4.728	+	IKBKB
chr8	42271303	42325360	XM_005273494.3	4.728	+	IKBKB
chr8	42271309	42330334	XM_011544521.2	4.728	+	IKBKB
chr8	42271309	42330334	XM_017013396.1	4.728	+	IKBKB
chr8	42271317	42330334	XM_011544522.2	4.727	+	IKBKB
chr9	129827289	129835274	NM_016520.3	4.724	-	C9orf78
chr9	129827354	129835306	XM_011518780.3	4.722	-	C9orf78
chr4	73740568	73743715	NM_000584.4	4.719	+	CXCL8
chr4	73740568	73742329	NM_001354840.2	4.719	+	CXCL8
chr8	42271435	42330334	XM_005273495.2	4.717	+	IKBKB
chr9	129835416	129881837	NM_001008563.4	4.717	+	USP20
chr9	129835416	129881837	NM_006676.7	4.717	+	USP20
chr9	129835428	129881835	XM_005251665.3	4.716	+	USP20
chr9	129835457	129881827	NM_001110303.4	4.715	+	USP20
chr9	129835457	129881835	XM_024447390.1	4.715	+	USP20
chr9	129835462	129881835	XM_011518161.2	4.715	+	USP20
chr9	129835485	129881835	XM_024447389.1	4.714	+	USP20
chr9	129835486	129881835	XM_011518162.2	4.714	+	USP20
chr20	63865227	63891544	NM_001243894.1	4.713	+	TPD52L2
chr20	63865227	63891544	NM_001243895.1	4.713	+	TPD52L2
chr20	63865246	63889828	XM_011529034.3	4.711	+	TPD52L2
chr20	63865248	63889824	XM_011529035.3	4.710	+	TPD52L2
chr20	63865265	63889832	XM_017028038.2	4.708	+	TPD52L2
chr20	63865269	63891537	NM_001243891.2	4.708	+	TPD52L2
chr20	63865269	63891537	NM_001243892.2	4.708	+	TPD52L2
chr20	63865269	63891537	NM_003288.4	4.708	+	TPD52L2
chr20	63865269	63891537	NM_199359.3	4.708	+	TPD52L2
chr20	63865269	63891537	NM_199360.3	4.708	+	TPD52L2
chr20	63865269	63891537	NM_199361.3	4.708	+	TPD52L2
chr20	63865269	63891537	NM_199362.3	4.708	+	TPD52L2
chr20	63865269	63891537	NM_199363.3	4.708	+	TPD52L2
chr8	42271567	42330334	XM_011544517.2	4.707	+	IKBKB
chr8	42271567	42330334	XM_011544520.2	4.707	+	IKBKB
chr11	117820056	117824743	NM_001680.5	4.707	-	FXYD2
chr7	150368095	150374038	NM_001362746.2	4.705	+	REPIN1
chr8	42271602	42330334	XM_011544519.2	4.704	+	IKBKB
chr22	46620385	46679784	NM_015124.5	4.702	+	GRAMD4
chr21	37366072	37526357	NM_001347722.2	4.702	+	DYRK1A
chr8	42270726	42330334	XM_005273491.5	4.701	+	IKBKB
chr8	42270726	42330334	XM_005273493.4	4.701	+	IKBKB
chr8	42270726	42330334	XM_005273496.4	4.701	+	IKBKB
chr8	42270726	42330334	XM_005273498.4	4.701	+	IKBKB
chr3	46407614	46409522	NM_001130910.2	4.696	+	CCRL2
chr7	150368227	150374042	XM_006715949.3	4.694	+	REPIN1
chr9	120902392	120929172	NM_001190945.1	4.691	-	TRAF1
chr9	124292419	124352441	NM_001166169.1	4.686	+	NEK6
chr16	53099159	53327501	XM_005256169.2	4.680	+	CHD9
chr1	27612288	27626239	NM_001042747.1	4.679	-	FGR
chr21	37365789	37515177	XM_006723977.3	4.670	+	DYRK1A
chr19	46620467	46625088	NM_000960.4	4.663	-	PTGIR
chr19	46620467	46625096	XM_005259093.3	4.663	-	PTGIR
chr19	46620467	46625096	XM_005259095.4	4.663	-	PTGIR
chr19	42086112	42197930	XM_017026886.2	4.661	-	POU2F2
chr19	42086112	42197930	XM_017026888.2	4.661	-	POU2F2
chr13	46125922	46168560	XM_005266374.2	4.660	-	LCP1
chr8	27326742	27459389	XM_011544441.2	4.655	+	PTK2B
chr8	27326742	27459389	XM_017013215.1	4.655	+	PTK2B
chr1	27612063	27626596	NM_001042729.2	4.648	-	FGR
chr21	37365572	37515375	NM_001396.4	4.647	+	DYRK1A
chr7	150368783	150374042	XM_006715952.2	4.646	+	REPIN1
chr7	150368789	150374043	NM_001099696.2	4.646	+	REPIN1
chr7	150368789	150374043	NM_013400.3	4.646	+	REPIN1
chr14	75278827	75282229	NM_005252.4	4.645	+	FOS
chr7	150368815	150374042	XM_017012082.1	4.644	+	REPIN1
chr7	150368821	150374038	NM_001099695.2	4.643	+	REPIN1
chr7	150368821	150374038	NM_001362745.2	4.643	+	REPIN1
chr7	150368821	150374038	NM_001362747.2	4.643	+	REPIN1
chr7	150368826	150374042	XM_006715951.2	4.643	+	REPIN1
chr7	150368827	150374042	XM_006715947.3	4.643	+	REPIN1
chr7	150368827	150374042	XM_006715950.3	4.643	+	REPIN1
chr1	12166990	12209219	NM_001066.3	4.640	+	TNFRSF1B
chr1	12166947	12209221	XM_011542060.2	4.639	+	TNFRSF1B
chr1	12166947	12209221	XM_011542063.2	4.639	+	TNFRSF1B
chr1	12166947	12195984	XM_017002211.1	4.639	+	TNFRSF1B
chr1	12166947	12209221	XM_017002214.1	4.639	+	TNFRSF1B
chr1	12166947	12209221	XM_017002215.1	4.639	+	TNFRSF1B
chr7	150368888	150374042	XM_024446737.1	4.638	+	REPIN1
chr7	150368888	150374042	XM_024446738.1	4.638	+	REPIN1
chr7	150369091	150374042	XM_017012081.2	4.623	+	REPIN1
chr12	31671136	31729173	NM_001278411.1	4.618	-	AMN1
chr12	31671136	31729173	NM_001278412.1	4.618	-	AMN1
chr12	31671145	31729167	XM_017018965.2	4.617	-	AMN1
chr12	111445492	111451622	XM_006719180.4	4.612	+	SH2B3
chr17	50133736	50150676	NM_032595.5	4.606	-	PPP1R9B
chr6	137197483	137220350	XM_011535793.2	4.605	-	IFNGR1
chr12	31671145	31729094	XM_017018963.2	4.601	-	AMN1
chr20	19934148	20002453	XM_017027889.1	4.595	+	RIN2
chr20	19935124	20002455	XM_005260733.2	4.588	+	RIN2
chr20	19935114	20002106	XM_011529259.2	4.588	+	RIN2
chr20	19935114	20002106	XM_017027892.1	4.588	+	RIN2
chr3	159839860	159897365	NM_001197109.1	4.584	+	SCHIP1
chr3	49311784	49340052	NM_001251877.2	4.584	-	USP4
chr3	49277143	49340052	NM_003363.4	4.584	-	USP4
chr3	49277143	49340052	NM_199443.3	4.584	-	USP4
chr12	31671141	31729020	NM_001113402.2	4.583	-	AMN1
chr16	29662949	29670875	NM_001030288.3	4.570	+	SPN
chr19	10271119	10286614	NM_000201.3	4.569	+	ICAM1
chr16	29663246	29670875	NM_003123.6	4.566	+	SPN
chr6	39314565	39322647	XM_017011346.1	4.565	-	KCNK16
chr8	27325563	27459390	NM_173175.2	4.564	+	PTK2B
chr8	27325551	27459385	NM_173176.3	4.564	+	PTK2B
chr6	39314697	39322701	NM_001135105.2	4.562	-	KCNK16
chr6	39316170	39322701	NM_001135106.2	4.562	-	KCNK16
chr6	39314697	39322701	NM_001135107.2	4.562	-	KCNK16
chr6	39314697	39322701	NM_032115.4	4.562	-	KCNK16
chr8	27325533	27459389	XM_005273448.5	4.562	+	PTK2B
chr8	27325533	27459389	XM_011544442.3	4.562	+	PTK2B
chr8	27325533	27459389	XM_017013216.2	4.562	+	PTK2B
chr8	133454847	133499354	XM_024447233.1	4.556	-	ST3GAL1
chr6	39314697	39322967	NM_001363784.1	4.550	-	KCNK16
chr5	177303798	177306948	NM_001271828.2	4.546	+	PRELID1
chr5	177303798	177306948	NM_013237.4	4.546	+	PRELID1
chr3	196639693	196662003	NM_198565.3	4.545	+	NRROS
chr2	84905655	84906670	NM_021103.4	4.540	+	TMSB10
chr16	50279454	50318134	XM_011522838.2	4.540	+	ADCY7
chr9	136744016	136748524	NM_198946.3	4.540	-	LCN6
chr5	177301189	177303743	NM_130781.3	4.539	-	RAB24
chr5	177301197	177303718	NM_001031677.4	4.536	-	RAB24
chrX	1462575	1467687	XM_005274429.3	4.536	-	P2RY8
chr14	74855096	74876662	XM_005267543.4	4.531	-	PROX2
chr14	74858607	74876662	XM_017021222.1	4.531	-	PROX2
chr8	27325344	27459389	XM_017013214.1	4.526	+	PTK2B
chr12	120210446	120250162	NM_025157.5	4.524	-	PXN
chr12	120210446	120250160	XM_006719534.1	4.524	-	PXN
chr6	139240060	139291997	NM_153235.4	4.519	-	TXLNB
chr9	129812941	129824135	NM_000113.3	4.518	-	TOR1A
chr3	14426249	14489348	XM_011534030.2	4.514	+	SLC6A6
chr6	137197483	137219429	NM_000416.2	4.514	-	IFNGR1
chr9	136994634	136997928	XM_017015281.1	4.511	-	CLIC3
chr16	78793	85845	XM_024450282.1	4.509	+	MPG
chr17	75109968	75130271	NM_001304271.2	4.506	+	ARMC7
chr17	75109968	75114819	NM_001304272.2	4.506	+	ARMC7
chr17	75109968	75114819	NM_001304273.2	4.506	+	ARMC7
chr17	75109968	75130271	NM_024585.4	4.506	+	ARMC7
chr19	55634994	55640897	XM_011527018.2	4.504	+	LOC107983998
chr19	55634994	55640792	XM_011527021.1	4.504	+	LOC107983998
chr19	55635027	55645622	XM_017026867.1	4.503	+	ZNF581
chr12	12725916	12791465	NM_001130415.2	4.499	+	APOLD1
chr16	67987389	67999460	XM_011523266.1	4.496	-	DPEP2
chr16	67987393	67999483	NM_022355.4	4.494	-	DPEP2
chr19	1905398	1913446	NM_001329533.2	4.494	+	ADAT3
chr19	1905398	1926012	NM_001329539.2	4.494	+	SCAMP4
chr19	1905398	1926012	NM_001329540.2	4.494	+	SCAMP4
chr19	1905398	1926012	NM_079834.4	4.494	+	SCAMP4
chr19	1905398	1913446	NM_138422.4	4.494	+	ADAT3
chr6	137197483	137219195	NM_001363526.1	4.493	-	IFNGR1
chr6	137197483	137219195	NM_001363527.1	4.493	-	IFNGR1
chr7	549196	602716	XM_017012433.1	4.492	-	PRKAR1B
chr6	137197483	137219154	XM_006715470.3	4.490	-	IFNGR1
chr6	137197483	137219146	XM_011535794.1	4.489	-	IFNGR1
chr1	205246495	205273342	NM_001297611.1	4.487	+	TMCC2
chr11	46361521	46380552	XM_024448732.1	4.486	+	DGKZ
chr7	5306789	5419588	XM_017012734.2	4.485	-	TNRC18
chr11	46361605	46380550	NM_001105540.2	4.479	+	DGKZ
chr16	67987389	67999717	XM_024450374.1	4.478	-	DPEP2
chr22	42869765	42947040	NM_007229.3	4.472	-	PACSIN2
chr19	55641001	55643469	NM_207115.2	4.465	+	ZNF580
chr15	67138020	67195194	NM_001145103.1	4.465	+	SMAD3
chr19	18382169	18389175	XM_024451789.1	4.453	+	GDF15
chr16	78224	85845	NM_001015052.3	4.452	+	MPG
chr16	78224	85845	NM_002434.4	4.452	+	MPG
chr12	113195445	113221093	NM_001330452.2	4.451	-	IQCD
chr12	113195445	113221093	NM_138451.3	4.451	-	IQCD
chr12	113195440	113221340	XM_011537864.2	4.451	-	IQCD
chr12	113195440	113221339	XM_005253834.4	4.451	-	IQCD
chr12	113195440	113221334	XM_005253833.4	4.451	-	IQCD
chr12	113195440	113221334	XM_011537863.2	4.451	-	IQCD
chr10	16824415	17023988	XM_011519709.2	4.449	-	CUBN
chr22	28800665	29057487	XM_011530436.3	4.444	+	ZNRF3
chr22	28800656	29057487	XM_011530435.2	4.443	+	ZNRF3
chr12	113221428	113298584	XM_011538490.2	4.442	+	TPCN1
chr12	113221450	113298584	XM_011538493.2	4.439	+	TPCN1
chr12	113221459	113298588	XM_017019480.2	4.438	+	TPCN1
chr12	113221459	113288655	XM_017019482.2	4.438	+	TPCN1
chr12	113221463	113298584	NM_001143819.3	4.438	+	TPCN1
chr12	113221463	113298584	NM_001351346.2	4.438	+	TPCN1
chr12	113221463	113298584	NM_017901.6	4.438	+	TPCN1
chr22	28794559	28800571	NM_001079539.1	4.436	-	XBP1
chr22	28794559	28800571	NM_005080.3	4.436	-	XBP1
chr19	55642051	55643469	NM_016202.2	4.436	+	ZNF580
chr16	67987389	68000466	XM_017023547.1	4.436	-	DPEP2
chr19	55642096	55643469	NM_001163423.1	4.436	+	ZNF580
chr12	113221488	113298584	XM_011538492.2	4.434	+	TPCN1
chr16	67987389	67994290	NM_001324159.1	4.433	-	DPEP2
chr16	67987389	67994301	XM_024450372.1	4.432	-	DPEP2
chr16	67987389	68000585	XM_017023543.1	4.431	-	DPEP2
chr16	67987389	68000585	XM_017023544.1	4.431	-	DPEP2
chr10	96593311	96669610	XM_005269498.1	4.430	-	PIK3AP1
chr16	67987389	68000626	XM_024450376.1	4.429	-	DPEP2
chr16	67987389	68000628	XM_011523272.3	4.429	-	DPEP2
chr16	67987389	68000628	XM_011523273.3	4.429	-	DPEP2
chr16	67987389	68000630	XM_011523274.3	4.429	-	DPEP2
chr16	67987389	68000643	XM_024450373.1	4.428	-	DPEP2
chr19	55643648	55645622	NM_016535.4	4.426	+	ZNF581
chr20	63861212	63862987	NM_080622.3	4.418	+	ABHD16B
chr3	52198164	52214326	XM_011533477.2	4.411	+	ALAS1
chr3	52198159	52214326	NM_000688.6	4.411	+	ALAS1
chr3	52198123	52214326	XM_011533478.2	4.410	+	ALAS1
chr16	67987389	67994974	XM_017023545.1	4.410	-	DPEP2
chr3	52198105	52214326	XM_017005873.1	4.410	+	ALAS1
chr3	52198105	52214326	XM_024453393.1	4.410	+	ALAS1
chr3	52198082	52214326	NM_001304443.1	4.409	+	ALAS1
chr3	52198082	52214326	NM_001304444.1	4.409	+	ALAS1
chr3	52198082	52214326	NM_199166.2	4.409	+	ALAS1
chr11	1868705	1892262	NM_001013253.2	4.406	+	LSP1
chr2	224768252	224947064	XM_017004445.2	4.405	-	DOCK10
chr2	224765089	224947048	NM_001290263.2	4.405	-	DOCK10
chr19	55643848	55645622	XM_006723240.3	4.402	+	ZNF581
chr1	207321673	207347250	XM_017000467.2	4.399	+	CD55
chr1	207321677	207360965	NM_000574.5	4.399	+	CD55
chr1	207321677	207360965	NM_001114752.3	4.399	+	CD55
chr1	207321677	207340765	NM_001300902.2	4.399	+	CD55
chr1	207321677	207360965	NM_001300903.2	4.399	+	CD55
chr1	207321677	207360965	NM_001300904.2	4.399	+	CD55
chr17	19334694	19377912	NM_001368769.2	4.380	-	B9D1
chr11	117518374	117817513	NM_001367905.1	4.380	-	DSCAML1
chr7	5306789	5421416	XM_017012730.1	4.379	-	TNRC18
chr7	5306789	5421417	XM_017012731.1	4.379	-	TNRC18
chr7	5306789	5421417	XM_017012732.1	4.379	-	TNRC18
chr7	5306789	5421417	XM_017012733.1	4.379	-	TNRC18
chr7	5327090	5421418	XM_017012740.1	4.379	-	TNRC18
chr7	5321196	5421419	XM_017012739.2	4.379	-	TNRC18
chr17	19378161	19383543	XM_011523957.3	4.379	+	MAPK7
chr10	6010688	6062366	NM_000417.3	4.375	-	IL2RA
chr10	6010688	6062366	NM_001308242.2	4.375	-	IL2RA
chr10	6010688	6062366	NM_001308243.2	4.375	-	IL2RA
chr17	19378252	19383543	XM_006721559.3	4.373	+	MAPK7
chr17	19377749	19383543	NM_139032.3	4.370	+	MAPK7
chr17	19377720	19383543	NM_139033.2	4.368	+	MAPK7
chr17	19377720	19383543	XM_006721558.3	4.368	+	MAPK7
chr11	1870251	1892262	NM_001289005.1	4.367	+	LSP1
chr17	75845698	75855334	NM_001330499.2	4.366	-	WBP2
chr17	75845698	75855334	NM_012478.4	4.366	-	WBP2
chr17	19378497	19383543	NM_002749.4	4.357	+	MAPK7
chr17	19378497	19383543	NM_139034.3	4.357	+	MAPK7
chr17	19378502	19383543	XM_006721557.3	4.357	+	MAPK7
chr3	12897219	13016051	XM_011534311.2	4.357	-	IQSEC1
chr15	44562695	44663677	XM_006720700.1	4.356	-	SPG11
chr15	44585737	44663677	XM_006720701.3	4.356	-	SPG11
chr15	44562695	44663677	XM_017022634.1	4.356	-	SPG11
chr15	44590089	44663677	XM_017022635.2	4.356	-	SPG11
chr11	117820056	117828088	NM_021603.4	4.356	-	FXYD2
chr15	101175726	101189774	XM_017022011.1	4.355	-	CHSY1
chr15	101175726	101189773	XM_006720435.3	4.355	-	CHSY1
chr15	44562695	44663661	NM_001160227.2	4.355	-	SPG11
chr15	44562695	44663661	NM_025137.4	4.355	-	SPG11
chr16	77018	85850	NM_001015054.2	4.355	+	MPG
chr17	45429351	45432915	NM_174919.3	4.354	-	ARHGAP27
chr17	45393907	45432866	XM_006721745.2	4.352	-	ARHGAP27
chr17	45393907	45432866	XM_006721747.2	4.352	-	ARHGAP27
chr17	45393907	45432866	XM_011524468.1	4.352	-	ARHGAP27
chr17	45393907	45432866	XM_011524469.1	4.352	-	ARHGAP27
chr17	45393907	45432866	XM_011524471.1	4.352	-	ARHGAP27
chr17	45396982	45432839	XM_006721750.4	4.351	-	ARHGAP27
chr17	45393907	45432839	XM_011524470.2	4.351	-	ARHGAP27
chr17	45401345	45432839	XM_011524473.2	4.351	-	ARHGAP27
chr17	45396948	45432839	XM_017024313.1	4.351	-	ARHGAP27
chr11	1870868	1892262	NM_001013254.1	4.350	+	LSP1
chr11	1870923	1892262	NM_001013255.1	4.349	+	LSP1
chr7	5306789	5422658	XM_017012736.1	4.348	-	TNRC18
chr7	5306789	5423842	XM_017012728.2	4.348	-	TNRC18
chr7	5306789	5423842	XM_017012737.2	4.348	-	TNRC18
chr21	33324969	33359863	NM_000629.3	4.347	+	IFNAR1
chr21	33324961	33349074	XM_011529552.2	4.347	+	IFNAR1
chr3	183254952	183273390	XM_017007309.1	4.347	+	B3GNT5
chr2	16549647	16625769	XM_024453165.1	4.346	-	FAM49A
chr2	16549647	16625768	XM_006712108.4	4.346	-	FAM49A
chr21	33324442	33360360	XM_005260964.2	4.346	+	IFNAR1
chr7	5306789	5423545	NM_001080495.2	4.345	-	TNRC18
chr3	183254629	183273390	XM_011513229.2	4.342	+	B3GNT5
chr6	139240060	139296689	XM_017010322.2	4.340	-	TXLNB
chr13	45333470	45341182	NM_001286273.2	4.337	-	TPT1
chr13	45333470	45341182	NM_003295.4	4.337	-	TPT1
chr13	46125922	46182176	NM_002298.5	4.336	-	LCP1
chr4	1166931	1208961	NM_001199021.1	4.335	-	SPON2
chr20	45792189	45811418	XM_024451823.1	4.335	+	DNTTIP1
chr17	45393907	45431935	XM_017024311.1	4.334	-	ARHGAP27
chr1	23870514	23913361	NM_001841.3	4.332	-	CNR2
chr20	64042349	64072346	XM_011529022.1	4.324	+	TCEA2
chr20	64042349	64072346	XM_024451978.1	4.324	+	TCEA2
chr16	67987389	67993393	NM_001369657.1	4.323	-	DPEP2
chr16	67987389	67993393	XM_005256090.5	4.323	-	DPEP2
chr16	67987389	67993393	XM_011523268.3	4.323	-	DPEP2
chr16	67987389	67993393	XM_011523271.3	4.323	-	DPEP2
chr16	67987389	67993393	XM_017023542.2	4.323	-	DPEP2
chr17	75845698	75856435	NM_001348170.1	4.320	-	WBP2
chr13	45333470	45341283	NM_001286272.1	4.318	-	TPT1
chr16	58058	76354	XM_005255494.1	4.315	-	RHBDF1
chr16	58058	76340	XM_017023556.1	4.312	-	RHBDF1
chr20	45791953	45811417	NM_052951.3	4.310	+	DNTTIP1
chr17	42552922	42555213	NM_000413.4	4.306	+	HSD17B1
chr17	42552922	42555213	NM_001330219.3	4.306	+	HSD17B1
chr15	75043285	75050725	NM_001301104.2	4.306	+	PPCDC
chr15	75043285	75050725	NM_001301105.2	4.306	+	PPCDC
chr20	45774212	45791882	NM_080614.2	4.303	-	WFDC3
chr17	77405076	77500592	NM_001293696.2	4.299	+	SEPTIN9
chr3	183253817	183273390	XM_005247823.5	4.297	+	B3GNT5
chr17	19383444	19387189	NM_001198695.2	4.297	-	MFAP4
chr17	19383444	19387189	NM_002404.3	4.297	-	MFAP4
chr22	37570247	37580086	NM_006498.3	4.295	-	LGALS2
chr17	40322990	40357642	XM_005257554.1	4.293	+	RARA
chr15	75043549	75060172	XM_017022462.1	4.293	+	PPCDC
chr1	205240736	205273342	XM_005245685.4	4.291	+	TMCC2
chr9	79571772	79726881	NM_001282748.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001282749.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001282753.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001282760.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351541.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351542.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351550.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351552.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351558.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351562.1	4.289	+	TLE4
chr9	79571772	79726881	NM_001351564.1	4.289	+	TLE4
chr9	79571772	79726881	NM_007005.4	4.289	+	TLE4
chr20	45708859	45791798	XM_017027668.1	4.287	-	WFDC3
chr20	45774207	45791792	XM_011528553.2	4.286	-	WFDC3
chr11	1853083	1892262	NM_002339.3	4.284	+	LSP1
chr11	1865164	1892262	NM_001242932.1	4.282	+	LSP1
chr10	16824415	17025763	XM_011519710.2	4.279	-	CUBN
chr6	31547607	31558828	NM_001144961.2	4.275	+	NFKBIL1
chr6	31547607	31558828	NM_005007.4	4.275	+	NFKBIL1
chr22	37639668	37656116	NM_001350055.2	4.274	+	SH3BP1
